BFD	RA	Dec	Diameter	mag	HD	HIP	Name
lam Hyi	0.809837222	-74.92343333		5.09	4815	3781	
63 del Psc	0.811373333	7.585083333		4.44	4656	3786	
25 nu. Cas	0.813887222	50.96819167		4.9	4636	3801	
64 Psc	0.816308056	16.94064167		5.07	4676	3810	
24 eta Cas	0.818095833	57.8165		3.46	4614	3821	Achird
35 nu. And	0.830235278	41.07891111		4.53	4727	3881	
65 i Psc	0.831435278	27.71030556		5.55	4757	3885	
19 phi02 Cet	0.835441944	-10.64431667		5.17	4813	3909	
rho Phe	0.844774167	-50.98681667		5.24	4919	3949	
lam01 Tuc	0.873478333	-69.50376667		6.67	5190	4084	
20 Cet	0.883470556	-1.144258333		4.78	5112	4147	
21 Cet	0.904886944	-8.740661111		6.15	5268	4257	
66 Psc	0.909785	19.18837778		5.8	5267	4267	
36 And	0.916135556	23.62840556		5.46	5286	4288	
26 ups01 Cas	0.916710278	58.97269167		4.83	5234	4292	
lam02 Tuc	0.916753611	-69.52708056		5.45	5457	4293	
67 k Psc	0.932919167	27.20938333		6.08	5382	4366	
22 phi03 Cet	0.933746944	-11.26652222		5.35	5437	4371	
28 ups02 Cas	0.944418333	59.18105278		4.62	5395	4422	
37 mu. And	0.945862778	38.49926111		3.86	5448	4436	
38 eta And	0.953444444	23.41765556		4.4	5516	4463	
68 h Psc	0.963930833	28.99221667		5.44	5575	4510	
alf Scl	0.976766944	-29.35744722		4.3	5737	4577	
23 phi04 Cet	0.978852222	-11.379975		5.62	5722	4587	
ksi Scl	1.021743333	-38.91653056		5.59	6055	4770	
ome Phe	1.033838889	-57.00238611		6.12	6192	4829	
ups Cep	1.038456111	81.875575		6.9	5679	4843	
sig Scl	1.040675833	-31.55200278		5.5	6178	4852	
69 sig Psc	1.046971389	31.80426111		5.5	6118	4889	
39 And	1.048405556	41.34516944		5.95	6116	4903	
71 eps Psc	1.049058056	7.890136111		4.27	6186	4906	
25 Cet	1.050704444	-4.8366		5.4	6203	4914	
26 Cet	1.063618889	1.366844444		6.06	6288	4979	
73 Psc	1.081288333	5.656263889		6.03	6386	5074	
72 Psc	1.084821111	14.94613333		5.64	6397	5081	
27 Cet	1.093578611	-9.979325		6.09	6482	5121	
74 psi01 Psc	1.094711111	21.47316944		5.33	6456	5131	
74 psi01 Psc	1.094919444	21.46545833		5.55	6457	5132	
77 Psc	1.097010556	4.908383333		6.35	6479	5141	
77 Psc	1.097620556	4.909427778		7.42	6480	5144	
bet Phe	1.101409167	-46.71845556		3.32	6595	5165	
28 Cet	1.101429722	-9.839352778		5.58	6530	5164	
76 Psc	1.103111111	32.18148333		6.28	6476	5175	
75 Psc	1.109340833	12.95603611		6.14	6557	5204	
iot Tuc	1.121850833	-61.77529167		5.36	6793	5268	
30 Cet	1.1295025	-9.785552778		5.71	6706	5296	
ups Phe	1.129958611	-41.4869		5.21	6767	5300	
79 psi02 Psc	1.132544167	20.73909444		5.56	6695	5310	
29 Cet	1.133239444	1.993066667		6.44	6734	5315	
41 And	1.133569167	43.94209444		5.04	6658	5317	
78 Psc	1.133706667	32.01211944		6.23	6680	5319	
30 mu. Cas	1.137878889	54.9202		5.17	6582	5336	Marfak
80 e Psc	1.139537222	5.650208333		5.51	6763	5346	
zet Phe	1.139746389	-55.24575833		3.94	6882	5348	
31 eta Cet	1.143164444	-10.18225833		3.46	6805	5364	Deneb
2 UMi	1.145798056	86.25709167		4.24	5848	5372	
42 phi And	1.158388333	47.24164444		4.26	6811	5434	
43 bet And	1.162200833	35.62056667		2.07	6860	5447	Mirach
81 psi03 Psc	1.163666667	19.65840278		5.57	6903	5454	
32 Cet	1.169985	-8.906133333		6.4	6976	5485	
44 And	1.171872778	42.08148056		5.67	6920	5493	
33 Cet	1.175986667	2.445672222		5.97	7014	5510	
31 Cas	1.177589167	68.77861389		5.32	6829	5518	
33 the Cas	1.184983889	55.14994444		4.34	6961	5542	Marfak
82 g Psc	1.185212778	31.42473889		5.15	7034	5544	
45 And	1.186188333	37.72412222		5.8	7019	5550	
84 chi Psc	1.190894444	21.03465278		4.66	7087	5571	
83 tau Psc	1.194343333	30.08964444		4.51	7106	5586	
32 Cas	1.194834167	65.01885556		5.57	6972	5589	
34 Cet	1.195419167	-2.251080556		5.93	7147	5594	
35 Cet	1.2085125	2.471580556		6.55	7218	5646	
86 zet Psc	1.2288575	7.575361111		5.21	7344	5737	
85 phi Psc	1.229152222	24.58370833		4.67	7318	5742	
86 zet Psc	1.229238056	7.578266667		6.44	7345	5743	
87 Psc	1.235452778	16.13348611		5.97	7374	5778	
37 Cet	1.240011389	-7.922836111		5.14	7439	5799	
88 Psc	1.245108611	6.995133333		6.04	7446	5824	
38 Cet	1.246992222	0		5.7	7476	5833	
nu. Phe	1.253089167	-45.53166667		4.97	7570	5862	
kap Tuc	1.262819722	-68.875975		4.25	7788	5896	
39 Cet	1.276746667	-2.500363889		5.42	7672	5951	
40 Cet	1.283057222	-2.279155556		6.52	7727	5985	
89 f Psc	1.296654444	3.614466667		5.13	7804	6061	
90 ups Psc	1.324442778	27.26405833		4.74	7964	6193	
42 Cet	1.330083056	0		5.87	8036	6226	
34 phi Cas	1.334699167	58.23161111		4.95	7927	6242	
35 Cas	1.351462778	64.65812778		6.33	8003	6312	
91 l Psc	1.352048056	28.73821389		5.23	8126	6315	
46 ksi And	1.372338889	45.52877778		4.87	8207	6411	Adhil
43 Cet	1.376341389	0		6.5	8335	6429	
47 And	1.394615278	37.71493889		5.6	8374	6514	
45 the Cet	1.400402222	-8.182755556		3.6	8512	6537	
