Code	RA	DEC	Diameter	mag	Name
IC228	2.444917	-14.515833	0.8	14	
IC231	2.498992	1.178889	1.1	15	
IC232	2.519877	1.265494	1.7	14	
IC233	2.527967	2.809944	0	15	
IC234	2.527139	0.139444	0	15	
IC235	2.547414	20.642	0.5	14.7	
IC237	2.558767	1.139444	0.5	15	
IC238	2.589656	12.837667	1.8	14	
IC239	2.607747	38.968944	4.6	11.2	
IC241	2.631781	2.327361	1.2	14	
IC242	2.64	-6.933889	0.9	15	
IC243	2.642272	-6.902417	0.9	15	
IC244	2.656864	2.72775	0.6	15	
IC245	2.648478	-14.306306	0.7	14	
IC247	2.669108	-11.734128	1.2	14	
IC248	2.690475	17.811889	1.3	14	
IC249	2.684028	-6.936389	1.9	0	
IC250	2.681733	-13.313944	0.8	15	
IC251	2.68716	-14.958103	0.4	15	
IC253	2.701576	-15.047122	0.3	14	
IC254	2.701347	-15.107222	0.5	14	
IC255	2.78425	16.288056	0.6	16	
IC256	2.827842	46.954722	2.5	14	
IC258	2.829439	41.051694	1.7	16	
IC260	2.850258	46.954694	1.8	15	
IC262	2.862017	42.828167	2.3	15	
IC265	2.912225	41.655383	0	16	
IC266	2.917975	42.263028	0.3	15	
IC267	2.897278	12.848972	2.2	0	
IC268	2.924131	-14.103278	0.6	15	
IC269	2.924013	-14.066911	1	15	
IC270	2.928928	-14.20805	1.2	14	
IC271	2.933175	-12.008361	0.8	15	
IC272	2.935094	-14.187194	0.9	15	
IC273	2.952983	2.77525	1.8	14	
IC276	2.978139	-15.703333	2	14	
IC277	2.997361	2.771167	1.6	0	
IC278	3.025133	37.765694	2.3	15	
IC279	3.020053	16.209	0	15	
IC280	3.050922	42.358694	0	0	
IC283	3.064	0.204444	0.4	15	
IC284	3.102769	42.371667	4.9	13	
IC285	3.068392	-12.015306	1	15	
IC288	3.125803	42.387167	0	0	
IC289	3.172019	61.317083	0.6	12	
IC290	3.161886	40.97425	1.2	15	
IC291	3.124056	-12.587222	0.8	14	
IC292	3.170322	40.765972	1.2	0	
IC293	3.18227	41.137192	0.2	15	
IC296	3.184444	40.626667	2.8	16	
IC298	3.188472	1.315	0	0	
IC300	3.23775	42.415278	0	0	
IC301	3.246592	42.222333	0	0	
IC302	3.214283	4.706028	2.1	0	
IC304	3.250369	37.881472	1.3	15	
IC305	3.251065	37.859817	1	15	
IC307	3.229219	0.241556	1.9	15	
IC308	3.271083	41.180278	0	0	
IC309	3.268386	40.804194	1	0	
IC310	3.278592	41.324806	1.6	0	
IC311	3.279653	40.003639	1.9	16	
IC312	3.302358	41.754139	1.5	0	
IC313	3.349467	41.893556	1.6	0	
IC314	3.313839	-1.97325	2.1	14	
IC315	3.319263	4.038358	0	15	
IC316	3.355556	41.931667	0	0	
IC317	3.315408	-12.740083	0.8	14	
IC318	3.345506	-14.568389	0.8	14	
IC319	3.391417	41.416111	0	0	
IC320	3.433097	40.788806	0	0	
IC321	3.408219	-14.985903	0.4	15	
IC322	3.4335	3.680278	0	15	
IC324	3.441167	-21.355	0.9	0	
