Code	RA	DEC	Diameter	mag	Name
IC5325	23.478669	-41.333361	2.5	12	
IC5326	23.493056	-28.831111	0.8	14	
IC5328	23.554622	-45.016306	2.5	12	
IC5329	23.552694	21.236861	1.8	16	
IC5331	23.556897	21.12975	1.1	15	
IC5332	23.574289	-36.101194	6.6	10.6	
IC5333	23.581286	-65.396028	1.5	0	
IC5334	23.576778	-4.533889	1.5	14	
IC5335	23.596389	-67.395833	1.3	0	
IC5337	23.606969	21.150528	0.9	0	
IC5338	23.608472	21.1455	1.1	13.8	
IC5339	23.634778	-68.4425	1.2	0	
IC5341	23.640772	26.985169	0	0	
IC5342	23.6441	27.01125	0.4	0	
IC5343	23.656222	-22.4975	0.6	14	
IC5345	23.658972	-22.413889	0.5	14	
IC5346	23.685091	24.950047	0	16	
IC5347	23.693533	24.885861	0	16	
IC5348	23.749778	-42.910639	1.9	0	
IC5349	23.773028	-28.005278	0.6	15	
IC5350	23.787444	-27.9575	0.3	15	
IC5353	23.791319	-28.109	1.6	0	
IC5355	23.787578	32.782694	1.1	14	
IC5356	23.789953	-2.3515	0.3	15	
IC5358	23.795861	-28.141167	2.6	0	
IC5359	23.793842	-2.317417	1	15	
IC5361	23.858021	-13.381708	0.4	14	
IC5362	23.860222	-28.36475	1.5	0	
IC5370	0.00254	32.738475	0.7	15	
IC5372	0.004509	32.792508	0.7	15	
IC5373	0.008056	32.782111	0.7	15	
IC5375	0.018006	4.541889	0.9	14	
IC5376	0.022186	34.525472	2.1	15	
IC5377	0.034844	16.590056	1.3	16	
IC5381	0.053131	15.965222	1.5	0	
IC5384	0.069231	-11.984278	0.8	15	
NGC1	0.121064	27.708361	1.9	13	
NGC2	0.121403	27.677944	1.4	15	
NGC3	0.121328	8.301417	0	14	
NGC4	0.123447	8.373417	0	0	
NGC5	0.130258	35.362236	0	14	
NGC7	0.139106	-29.915722	2.5	0	
NGC9	0.148514	23.81775	1.5	15	
NGC10	0.142861	-33.858056	2.7	0	
NGC11	0.145119	37.448278	0	14	
NGC12	0.145781	4.612306	1.9	15	
NGC13	0.146622	33.433139	2.7	14	
NGC14	0.146186	15.815556	3	12	
NGC15	0.150692	21.624367	0	15	
NGC16	0.151175	27.729639	2.1	12	
NGC20	0.159086	33.308722	2	15	
NGC21	0.179681	33.352472	1.4	14	
NGC22	0.163397	27.831861	0	15	
NGC23	0.164831	25.923889	2.3	12	
NGC24	0.165636	-24.964417	5.5	11.5	
NGC25	0.166556	-57.020278	0	0	
NGC26	0.173878	25.832083	2.2	14	
NGC27	0.175789	28.996556	0	14	
NGC28	0.173689	-56.989056	0	0	
NGC29	0.179689	33.3525	1.8	14	
NGC31	0.177372	-56.985917	0	0	
NGC32	0.181556	18.795667	0	0	
NGC34	0.185139	-12.107222	0	13	
NGC35	0.186238	-12.020694	0	14	
NGC36	0.189547	6.389083	2.4	15	
NGC37	0.189728	-56.957222	0	0	
NGC38	0.196389	-5.586667	0	13	
NGC39	0.205269	31.061111	0	14	
NGC40	0.216925	72.522	0.6	11	
NGC41	0.213344	22.023556	0	14	
NGC42	0.215658	22.100275	0	15	
NGC43	0.216908	30.915167	0	14	
NGC45	0.234408	-23.181333	8.1	10.4	
NGC47	0.241856	-7.167917	0	13	
NGC48	0.233928	48.234583	1.7	15	
NGC49	0.239571	48.246497	0	15	
NGC50	0.245722	-7.345278	0	0	
NGC51	0.243022	48.255631	1.8	15	
NGC52	0.244503	18.581083	0	14	
NGC53	0.245278	-60.328333	2.1	0	
NGC54	0.252111	-7.107222	0	14	
NGC55	0.252222	-39.22	32.4	8	
NGC57	0.258589	17.327917	0	13	
NGC59	0.257056	-21.443889	0	13	
NGC60	0.266194	0.303889	0	15	
NGC61	0.273444	-6.322222	0	15	
NGC62	0.284833	-13.486389	0	14	
NGC63	0.295967	11.449722	1.9	13	
NGC64	0.29175	-6.825278	0	14	
NGC65	0.316456	-22.880472	0	15	
NGC66	0.317983	-22.936944	0	14	
NGC67	0.304139	30.062778	0.4	16	
NGC68	0.305114	30.071639	1.5	13	
NGC69	0.305694	30.039981	0.4	14.8	
NGC70	0.306269	30.079444	1.7	15	
NGC71	0.30655	30.063	1.8	13	
NGC72	0.307886	30.040333	1.4	13.4	
NGC73	0.310854	-15.322011	0	13	
NGC74	0.313725	30.061056	0	16	
NGC75	0.323988	6.449286	0	15	
NGC76	0.327153	29.933972	0	14	
NGC78	0.340967	0.833472	0	14	
NGC79	0.350811	22.566819	0	15	
NGC80	0.353061	22.357306	2.5	12.1	
NGC81	0.353738	22.382814	0	0	
NGC82	0.354889	22.460278	1.3	14	
NGC83	0.356267	22.434	1.6	12.6	
NGC84	0.355903	22.619694	0	17	
NGC85	0.357098	22.511783	0	15	
NGC86	0.357953	22.556139	0	15	
NGC87	0.354083	-48.629167	0	0	
NGC88	0.356111	-48.640278	0	0	
NGC89	0.356722	-48.665556	0	0	
NGC91	0.364378	22.368222	2.5	15	
NGC92	0.358833	-48.625	0	0	
NGC93	0.367556	22.408111	0	14	
NGC94	0.370442	22.482917	0	15	
NGC95	0.370489	10.491722	1.9	12.6	
NGC96	0.371608	22.54625	0	17	
NGC97	0.375	29.745167	0	13	
NGC98	0.380361	-45.268889	1.8	0	
NGC99	0.399869	15.769917	1.7	14	
NGC100	0.400739	16.485972	5.8	0	
NGC101	0.398472	-32.536389	0	13	
NGC102	0.410139	-13.956667	0	14	
NGC103	0.421111	61.323333	5	9.8	
NGC104	0.401514	-72.081083	30.9	4	47 Tuc
NGC105	0.421353	12.883917	1.2	13.2	
NGC106	0.412139	-5.149167	0	0	
NGC107	0.428361	-8.283889	0	0	
NGC108	0.433219	29.211639	0	13	
NGC109	0.437403	21.807181	0	15	
NGC110	0.456944	71.383333	0	0	
NGC112	0.446875	31.703222	0	14	
NGC113	0.448531	-2.500833	0	13	
NGC114	0.449535	-1.785983	0	15	
NGC115	0.446222	-33.676389	0	0	
NGC116	0.4525	-7.938333	0	14	
NGC117	0.453056	1.333611	0	15	
NGC118	0.454515	-1.779978	0	15	
NGC119	0.449278	-56.978056	0	0	
NGC120	0.458369	-1.5135	1.8	15	
NGC121	0.446542	-71.53625	1.5	10.6	
NGC124	0.464539	-1.810611	1.6	14	
NGC125	0.480628	2.838833	2	12.3	
NGC126	0.485592	2.810778	1.4	16	
NGC127	0.486757	2.872483	1	14	
NGC128	0.487517	2.864139	3.4	11.6	
NGC129	0.5	60.218333	21	6.5	
NGC130	0.488489	2.870361	0.9	14.3	
NGC131	0.493944	-33.259167	2.1	0	
NGC132	0.502931	2.092889	2	14	
NGC133	0.521944	63.35	7	9	
NGC134	0.506086	-33.245694	8.1	10.1	
NGC136	0.525278	61.51	1	0	
NGC137	0.516142	10.208306	0	14	
NGC138	0.516472	5.159528	0	15	
NGC139	0.518456	5.078333	0	15	
NGC140	0.522364	30.791722	0	14	
NGC141	0.521556	5.178889	0	15	
NGC142	0.519028	-22.619167	0	14	
NGC143	0.521083	-22.560278	0	15	
NGC144	0.522472	-22.645833	0	14	
NGC145	0.529361	-5.153333	1.8	12.8	
NGC146	0.550833	63.301667	7	9.1	
NGC147	0.553314	48.507528	12.9	9.3	
NGC148	0.570972	-31.785833	2.4	12.1	
NGC149	0.563961	30.722917	0	15	
NGC150	0.571028	-27.804528	4.2	11.1	
NGC151	0.567389	-9.705556	3.7	11.5	
NGC152	0.549111	-73.115833	0	12	
NGC154	0.572059	-12.656189	0	14	
NGC155	0.577821	-10.766381	0	13	
NGC157	0.579617	-8.396222	4.3	10.4	
NGC159	0.576639	-55.789722	0	0	
NGC160	0.601158	23.957861	3.2	12.4	
NGC161	0.592764	-2.848736	0	15	
NGC162	0.602567	23.962	0	0	
NGC163	0.599936	-10.121619	1.4	12.8	
NGC164	0.609167	2.75	0	16	
NGC165	0.608028	-10.106111	1.6	13.2	
NGC166	0.596861	-13.610556	0	15	
NGC167	0.58975	-23.375556	0	13	
NGC168	0.610833	-22.593611	0	14	
NGC169	0.614389	23.990583	3	13	
NGC170	0.612742	1.886333	0	15	
NGC172	0.620556	-22.585833	2.6	0	
NGC173	0.620131	1.942028	3.5	15	
NGC174	0.616361	-29.477778	0	14	
NGC175	0.622667	-19.934444	2.6	12.1	
NGC176	0.599583	-73.166111	0	12	
NGC177	0.626375	-22.549083	0	13	
NGC178	0.652339	-14.172611	2	12.6	
NGC179	0.629528	-17.849444	0	14	
NGC180	0.632672	8.634472	2.6	14	
NGC181	0.639806	29.471944	0	15	
NGC182	0.636789	2.728417	2.3	12.6	
NGC183	0.641503	29.510917	0	14	
NGC184	0.643306	29.446944	0	15	
NGC185	0.649339	48.337139	11.5	9.2	
NGC186	0.640358	3.166028	0	15	
NGC187	0.658417	-14.656111	0	13	
NGC188	0.791111	85.255	14	8.1	
NGC189	0.659722	61.085	4	8.8	
NGC190	0.648531	7.062556	1	14	
NGC191	0.649814	-9.002528	1.5	12	
NGC192	0.653747	0.863333	2.3	14	
NGC193	0.655142	3.331075	1.7	12.3	
NGC194	0.655103	3.037139	1.9	12.1	
NGC195	0.659926	-9.19455	1.3	0	
NGC196	0.654947	0.912528	0	14	
NGC197	0.655219	0.891636	0	15	
NGC198	0.656372	2.797694	1.3	12.8	
NGC199	0.659217	3.138389	0	15	
NGC200	0.659664	2.887472	2	14	
NGC201	0.659722	0.859667	2.2	15	
NGC202	0.661064	3.535944	0	15	
NGC203	0.660975	3.442444	0	15	
NGC204	0.662289	3.299361	0	14	
NGC205	0.672822	41.685364	17.4	8	
NGC206	0.675528	40.738611	0	0	
NGC208	0.671556	2.755833	0	15	
NGC209	0.651031	-18.608653	0	14	
NGC210	0.676344	-13.87325	5.4	10.9	
NGC212	0.670306	-56.1525	0	0	
NGC213	0.6861	16.468972	0	15	
NGC214	0.691111	25.4995	2.1	12.2	
NGC215	0.680194	-56.214167	1.2	0	
NGC216	0.690778	-21.045278	1.8	13.3	
NGC217	0.69275	-10.021944	3.3	0	
NGC218	0.695758	36.35925	0	15	
NGC219	0.703142	0.90425	0	15	
NGC220	0.675139	-73.403333	0	11	
NGC221	0.711636	40.865056	7.6	8.2	
NGC222	0.678972	-73.385	0	11	
NGC223	0.704422	0.845389	0	14	
NGC224	0.712305	41.268903	178	3.5	
NGC225	0.7275	61.775	12	7	
NGC226	0.715025	32.580167	0	14	
NGC227	0.710236	-1.529222	2.1	13	
NGC228	0.715136	23.503167	0	15	
NGC229	0.717967	23.509083	0	14	
NGC230	0.707556	-23.629167	0	15	
NGC231	0.685139	-73.352222	0	12	
NGC232	0.712669	-23.561528	0	14	
NGC233	0.726828	30.586806	0	14	
NGC234	0.725658	14.342444	0	13	
NGC235	0.714614	-23.541194	0	14	
NGC236	0.724297	2.95775	0	14	
NGC237	0.724419	0.124806	1.8	14	
NGC238	0.723833	-50.183472	1.9	0	
NGC240	0.750531	6.11275	0	15	
NGC242	0.726417	-73.445	0	12	
NGC243	0.766906	29.959194	0	14	
NGC244	0.762925	-15.597417	1.3	13.3	
NGC245	0.768194	-1.723278	1.4	13	
NGC246	0.784283	-11.872028	3.8	8	
NGC247	0.785661	-20.75975	20	8.9	
NGC248	0.75675	-73.379722	0	0	
NGC249	0.758889	-73.08	0	0	
NGC250	0.787783	7.909722	0	15	
NGC251	0.798342	19.596556	0	14	
NGC252	0.800444	27.6235	1.8	13	
NGC253	0.792511	-25.288278	25.1	7.1	Sculptor galaxy
NGC254	0.791	-31.421111	2.1	11.8	
NGC255	0.796472	-11.468333	3.1	11.8	
NGC256	0.764833	-73.506944	0	12	
NGC257	0.800444	8.296556	2.1	14	
NGC258	0.803589	27.656569	0	15	
NGC259	0.800917	-2.776111	3.2	0	
NGC260	0.809661	27.692028	1	14	
NGC261	0.774444	-73.101667	0	0	
NGC262	0.813096	31.95685	1.4	15	
NGC263	0.813444	-13.1075	0	14	
NGC264	0.805833	-38.234444	0.9	0	
NGC265	0.786361	-73.4775	0	12	
NGC266	0.829992	32.277528	3.2	13	
NGC267	0.800556	-73.273333	0	0	
NGC268	0.835944	-5.193889	1.7	13	
NGC269	0.805806	-73.530833	0	12	
NGC270	0.842333	-8.651944	0	13	
NGC271	0.844972	-1.910056	2.5	13	
NGC272	0.856667	35.831667	0	0	
NGC273	0.846778	-6.885556	2.6	13	
NGC274	0.850506	-7.057139	1.7	13	
NGC275	0.851228	-7.065639	1.5	12.5	
NGC276	0.868478	-22.680111	0	14	
NGC277	0.854777	-8.596911	0	13	
NGC278	0.867903	47.550472	2.2	10.9	
NGC279	0.869153	-2.21825	1.8	14	
NGC280	0.875033	24.350389	0	14	
NGC281	0.881611	56.624722	35	7	
NGC282	0.878361	30.638611	0	14	
NGC283	0.887013	-13.164036	0	14	
NGC284	0.890069	-13.159097	0	15	
NGC285	0.891636	-13.161131	0	0	
NGC286	0.891777	-13.112717	0	14	
NGC287	0.891194	32.481944	0	15	
NGC288	0.879278	-26.583528	13.8	8.1	
NGC289	0.878319	-31.206194	3.7	12	
NGC290	0.854083	-73.161667	0	12	
NGC291	0.891611	-8.768333	0	14	
NGC292	0.877222	-72.8	0	0	
NGC293	0.904442	-7.235861	0	14	
NGC294	0.884833	-73.380278	0	0	
NGC295	0.918056	31.53	0	13	
NGC296	0.918775	31.542278	0	15	
NGC298	0.917314	-7.3335	0	13	
NGC299	0.890194	-72.196667	0	11	
NGC300	0.914842	-37.684222	20	9	
NGC301	0.938444	-10.673611	0	0	
NGC303	0.915167	-16.653222	0	0	
NGC304	0.935036	24.126444	0	14	
NGC305	0.939028	12.065556	0	0	
NGC306	0.904083	-72.241667	0	12	
NGC307	0.942392	-1.771889	0	14	
NGC309	0.945194	-9.913889	3.1	11.8	
NGC311	0.959097	30.280222	0	14	
NGC312	0.937833	-52.783056	1.8	0	
NGC313	0.962694	30.366389	3.6	12	
NGC314	0.947917	-31.963056	1.2	0	
NGC315	0.963611	30.352333	3.2	13	
NGC316	0.964556	30.354056	3.6	12	
NGC317	0.961228	43.792083	0	15	
NGC318	0.96813	30.425358	0	15	
NGC319	0.949283	-43.838417	1.1	0	
NGC320	0.979556	-20.840278	0	15	
NGC321	0.960897	-5.086308	0	0	
NGC322	0.952806	-43.726667	1.3	0	
NGC323	0.944861	-52.976111	1.3	0	
NGC324	0.954056	-40.958889	0	0	
NGC325	0.9633	-5.112444	0	16	
NGC326	0.972967	26.865333	1.5	13.2	
NGC327	0.965358	-5.130694	1.9	13	
NGC328	0.94925	-52.923333	2.8	0	
NGC329	0.967067	-5.071583	1.9	13	
NGC330	0.938528	-72.4625	2	9.6	
NGC332	0.980311	7.111139	0	15	
NGC333	0.980911	-16.469194	0	16	
NGC334	0.980528	-35.115556	0	0	
NGC335	0.98875	-18.233889	1.2	0	
NGC336	0.967372	-18.38575	0	12	
NGC337	0.997225	-7.577556	2.8	11.6	
NGC338	1.010125	30.668861	0	14	
NGC339	0.962383	-74.472333	2.2	11.9	
NGC340	1.009683	-6.866556	0	14	
NGC341	1.012722	-9.185833	0	13	
NGC342	1.013864	-6.772886	0	14	
NGC344	0.973717	-23.229194	0.9	0	
NGC345	1.022814	-6.884694	0	13	
NGC346	0.984722	-72.176667	14	10.3	
NGC347	1.02645	-6.733972	0	14	
NGC348	1.014361	-53.244722	1.1	0	
NGC349	1.030758	-6.800083	0	13	
NGC350	1.032421	-6.796019	0	15	
NGC351	1.032742	-1.936333	0	14	
NGC352	1.035861	-4.245556	2.7	13	
NGC353	1.040178	-1.957611	0	14	
NGC354	1.054575	22.342417	0.9	14	
NGC355	1.051934	-6.324214	0	15	
NGC356	1.051956	-6.988444	0	13	
NGC357	1.056083	-6.338611	2.6	11.8	
NGC358	1.086389	62.020556	0	0	
NGC359	1.071383	0.764833	0	15	
NGC360	1.047586	-65.609361	3.3	0	
NGC361	1.036444	-71.606667	1.5	11.8	
NGC362	1.053872	-70.848306	12.9	6.6	
NGC363	1.104381	-16.542806	0	15	
NGC364	1.078008	0.802917	0	14	
NGC365	1.071861	-35.121389	0	0	
NGC366	1.107222	62.23	3	0	
NGC368	1.072694	-43.275833	0	0	
NGC369	1.085778	-17.758611	1.3	0	
NGC371	1.058056	-72.056667	8	0	
NGC373	1.116278	32.308333	0	0	
NGC374	1.118269	32.795194	0	14	
NGC375	1.118408	32.347892	1.3	16	
NGC378	1.103306	-30.178056	0	14	
NGC379	1.121014	32.520583	1.8	12.6	
NGC380	1.121558	32.483111	1.6	12.5	
NGC381	1.138611	61.583333	6	9	
NGC382	1.123322	32.403861	0.4	14	
NGC383	1.123589	32.412472	2.3	11.9	
NGC384	1.123622	32.292722	1.1	13	
NGC385	1.124233	32.32	1.5	12.9	
NGC386	1.125351	32.362039	0.9	14.1	
NGC387	1.125861	32.391083	0	0	
NGC388	1.129782	32.309892	0.8	14.3	
NGC389	1.141644	39.69475	0	15	
NGC390	1.131583	32.433056	0	0	
NGC391	1.122964	0.9255	0	14	
NGC392	1.139839	33.133389	0	14	
NGC393	1.143622	39.643694	0	13	
NGC394	1.140556	33.1475	0	15	
NGC396	1.135683	4.530833	0	0	
NGC397	1.141949	33.109528	0	15	
NGC398	1.148256	32.51455	0	15	
NGC399	1.149781	32.634111	0	14	
NGC403	1.153969	32.752111	2.1	13	
NGC404	1.157489	35.718083	4.4	10.1	
NGC406	1.123389	-69.876389	3.8	12	
NGC407	1.176814	33.125806	2	14	
NGC408	1.180858	33.151278	0	0	
NGC409	1.159139	-35.805556	1.5	0	
NGC410	1.182989	33.151278	2.6	13	
NGC413	1.208731	-2.793917	0	16	
NGC414	1.188222	33.113333	0	14	
NGC415	1.168194	-35.490833	0	0	
NGC416	1.132917	-72.356111	1.1	11	
NGC417	1.184914	-18.148786	0	15	
NGC418	1.176594	-30.221056	2.3	13	
NGC419	1.138139	-72.883333	2.6	10	
NGC420	1.202706	32.123	0	13	
NGC423	1.189528	-29.234444	0	14	
NGC424	1.191028	-38.082778	2.1	0	
NGC425	1.217403	38.768389	0	13	
NGC426	1.213522	0.290486	0	14	
NGC427	1.205444	-32.061389	0	15	
NGC428	1.215456	0.981806	4.1	11.4	
NGC429	1.215933	0.345583	0	14	
NGC430	1.216628	0.252667	0	13	
NGC431	1.234586	33.704139	0	14	
NGC432	1.196167	-61.526944	1.5	0	
NGC433	1.253056	60.126667	3	0	
NGC434	1.203861	-58.246944	1.9	13	
NGC435	1.233297	2.07075	0	15	
NGC436	1.266111	58.811667	6	8.8	
NGC437	1.239506	5.926417	0	14	
NGC438	1.226083	-37.901667	0	0	
NGC439	1.229812	-31.747283	0	13	
NGC440	1.213417	-58.282222	1	0	
NGC441	1.230944	-31.788056	0	14	
NGC442	1.244078	-1.021	1.2	15	
NGC443	1.252089	33.377156	0	14	
NGC444	1.263786	31.080222	0	14	
NGC445	1.248028	1.9175	0	15	
NGC446	1.267675	4.294167	0	15	
NGC447	1.260475	33.066972	2.6	14	
NGC448	1.254572	-1.625972	0	13	
NGC449	1.268689	33.089231	0.7	14.3	
NGC450	1.258475	0.861111	3.2	12.1	
NGC451	1.270122	33.064056	0	15	
NGC452	1.270842	31.033611	0	14	
NGC454	1.239778	-55.398889	1.9	0	
NGC455	1.265983	5.178056	0	14	
NGC456	1.229306	-73.291667	15	0	
NGC457	1.326389	58.286667	13	6.4	
NGC459	1.302272	17.562083	0	15	
NGC460	1.243889	-73.275	0	0	
NGC461	1.288944	-33.840833	1.2	0	
NGC462	1.303056	4.225986	0	0	
NGC463	1.316167	16.325444	0	15	
NGC464	1.324086	34.955667	0	0	
NGC465	1.261722	-73.329167	0	0	
NGC466	1.287056	-58.91	2.1	0	
NGC467	1.319497	3.300556	2.4	11.9	
NGC468	1.330119	32.767306	0	15	
NGC469	1.325831	14.871444	0	15	
NGC470	1.329122	3.409722	3	11.9	
NGC471	1.333233	14.785722	0	14	
NGC472	1.341319	32.708944	0	14	
NGC473	1.331964	16.544861	2.2	13	
NGC474	1.335178	3.41525	7.9	11.1	
NGC475	1.333897	14.861233	0	0	
NGC476	1.338861	16.019897	0	15	
NGC477	1.355653	40.488583	0	14	
NGC478	1.335889	-22.378056	0	15	
NGC479	1.354389	3.862167	0	15	
NGC481	1.353489	-9.211389	0	14	
NGC482	1.338944	-40.965556	0	0	
NGC483	1.365617	33.521583	0	14	
NGC484	1.326333	-58.524167	2.2	0	
NGC485	1.357678	7.018083	1.9	14	
NGC486	1.362075	5.347111	0	15	
NGC487	1.365306	-16.370833	0	14	
NGC488	1.363006	5.256306	5.2	10.3	
NGC489	1.364978	9.206167	0	13	
NGC490	1.36747	5.367158	0	15	
NGC491	1.355611	-34.063333	1.5	13	
NGC492	1.370458	5.41675	0	15	
NGC493	1.369222	0.946111	3.8	12.5	
NGC494	1.382028	33.173556	0	14	
NGC495	1.382225	33.471472	1.5	13.2	
NGC496	1.386553	33.529083	0	14	
NGC497	1.373283	0.875444	2.4	14	
NGC498	1.386461	33.489044	0	16	
NGC499	1.38655	33.460111	2	12	
NGC500	1.377608	5.387236	0	15	
NGC501	1.389569	33.432756	0	15	
NGC502	1.3821	9.048833	0	14	
NGC503	1.391242	33.331889	0	15	
NGC504	1.391111	33.204111	0	14	
NGC505	1.382531	9.468639	0	15	
NGC507	1.394431	33.255833	4.3	11.2	
NGC508	1.394628	33.280306	1.6	12.8	
NGC509	1.390031	9.433444	1.7	15	
NGC510	1.398772	33.496639	0	0	
NGC511	1.391869	11.290639	0	15	
NGC512	1.399944	33.907694	0	14	
NGC513	1.407464	33.799264	0	13	
NGC514	1.401081	12.917306	3.5	11.9	
NGC515	1.410681	33.472889	0	14	
NGC516	1.40225	9.551528	1.6	14	
NGC517	1.412167	33.429361	0	13	
NGC518	1.404925	9.330944	1.9	14	
NGC519	1.407972	-1.641389	0	0	
NGC520	1.409686	3.791833	4.8	11.2	
NGC521	1.409392	1.73125	3.4	13	
NGC522	1.412731	9.994472	2.8	14	
NGC523	1.422892	34.025806	3.1	14	
NGC524	1.413264	9.539139	3.2	10.6	
NGC525	1.414678	9.703003	0	14	
NGC526	1.398403	-35.065389	0	0	
NGC527	1.399444	-35.115444	0	0	
NGC528	1.426025	33.671194	0	13	
NGC529	1.427867	34.712944	0	13	
NGC530	1.411589	-1.587444	1.9	14	
NGC531	1.438575	34.753917	0	15	
NGC532	1.421442	9.264	2.8	14	
NGC533	1.425414	1.759083	3.7	13	
NGC534	1.412411	-38.128861	0	0	
NGC535	1.425322	-1.408972	1.3	15	
NGC536	1.439381	34.702889	3.7	13	
NGC538	1.423925	-1.551083	1.3	15	
NGC539	1.422708	-18.163981	1.8	14	
NGC540	1.452454	-20.036428	1.4	0	
NGC541	1.428992	-1.379533	2.7	12	
NGC542	1.441919	34.675333	0	15	
NGC543	1.430556	-1.293056	0.7	13.3	
NGC544	1.419975	-38.094306	0	0	
NGC545	1.433098	-1.340456	3	14	
NGC546	1.420203	-38.069028	0	0	
NGC547	1.433531	-1.345242	1.7	12.3	
NGC548	1.434036	-1.225972	1.5	0	
NGC549	1.418617	-38.007278	2	0	
NGC550	1.445122	2.022083	1.7	14	
NGC551	1.461294	37.18275	0	13	
NGC554	1.452667	-22.723806	0	15	
NGC555	1.453251	-22.762239	0	15	
NGC557	1.4403	-1.638778	0	15	
NGC558	1.454466	-1.971325	0.7	0	
NGC559	1.491944	63.306667	4	9.5	
NGC560	1.45705	-1.913417	2.3	12.9	
NGC561	1.471881	34.308417	0	14	
NGC562	1.474819	48.387083	1.5	15	
NGC563	1.422708	-18.163981	0	14	
NGC564	1.463372	-1.879444	1.8	12.5	
NGC565	1.469478	-1.306306	1.6	15	
NGC566	1.484158	32.332056	0	14	
NGC567	1.450677	-10.265422	0	14	
NGC568	1.465806	-35.7175	0	0	
NGC569	1.485347	11.131028	0	14	
NGC570	1.482958	0.949444	2.5	14	
NGC571	1.498914	32.500861	0	15	
NGC572	1.47675	-39.306944	0	0	
NGC573	1.513692	41.257083	0	13	
NGC574	1.484139	-35.598611	0	0	
NGC575	1.512925	21.439889	0	14	
NGC576	1.482556	-51.598333	1.2	0	
NGC577	1.5113	-1.994556	0	14	
NGC578	1.507944	-22.666389	4.8	10.9	
NGC579	1.529589	33.615444	0	13	
NGC581	1.556389	60.65	6	7.4	
NGC582	1.532792	33.476	0	13	
NGC583	1.495611	-18.339742	0	15	
NGC584	1.522428	-6.868083	3.8	10.4	
NGC585	1.528386	0.932917	0	14	
NGC586	1.526908	-6.89375	1.6	13.2	
NGC587	1.542619	35.358389	0	13	
NGC588	1.546	30.648889	0	0	
NGC589	1.544425	-12.042861	0	14	
NGC590	1.561378	44.928694	0	14	
NGC591	1.5587	35.668111	0	14	
NGC592	1.553333	30.645833	0	0	
NGC593	1.539083	-12.355833	0	14	
NGC594	1.549139	-16.535833	0	14	
NGC595	1.559389	30.691944	0	0	
NGC596	1.547778	-7.032222	3.5	10.9	
NGC597	1.537444	-33.497778	0	0	
NGC598	1.564139	30.660167	62	5.7	Triangulum galaxy
NGC599	1.548281	-12.191028	0	13	
NGC600	1.5515	-7.312222	3.5	12.4	
NGC602	1.490556	-73.558333	0	0	
NGC604	1.575786	30.783889	0	0	
NGC605	1.583989	41.247861	0	14	
NGC606	1.580628	21.417583	0	14	
NGC608	1.591183	33.656667	0	14	
NGC609	1.606389	64.538333	3	11	
NGC612	1.566081	-36.492889	0	13.2	
NGC613	1.571736	-29.41875	5.8	10	
NGC614	1.597847	33.681389	0	14	
NGC615	1.584889	-7.340556	4	11.5	
NGC617	1.567376	-9.774094	0	15	
NGC619	1.581083	-36.488611	0	0	
NGC620	1.616606	42.322139	0	14	
NGC621	1.613631	35.511972	0	14	
NGC622	1.600014	0.663722	2	14	
NGC623	1.585056	-36.49	0	0	
NGC624	1.597528	-10.003056	0	14	
NGC625	1.584667	-41.436944	3	12	
NGC626	1.586639	-39.147222	0	0	
NGC628	1.611617	15.7835	10.2	9.2	
NGC630	1.5935	-39.358889	0	0	
NGC631	1.613078	5.835211	0	15	
NGC632	1.621533	5.877333	0	13	
NGC633	1.606583	-37.322222	0	0	
NGC634	1.638467	35.364889	0	14	
NGC636	1.651794	-7.512528	2.3	11.3	
NGC637	1.717778	64.04	4	8.2	
NGC638	1.660522	7.237056	0	14	
NGC639	1.649708	-29.925167	0	15	
NGC640	1.656944	-9.401389	0	15	
NGC641	1.644222	-42.526944	0	0	
NGC642	1.651786	-29.915194	0	14	
NGC643	1.583617	-75.556722	0	13	
NGC644	1.648056	-42.585278	0	0	
NGC645	1.669108	5.726583	0	14	
NGC646	1.622636	-64.895528	0	0	
NGC647	1.665617	-9.242458	0	14	
NGC648	1.644392	-17.831806	0	14	
NGC649	1.66875	-9.272222	0	15	
NGC650	1.705028	51.570833	4.8	12	Little Dumbbell
NGC651	1.706111	51.58	0	12	
NGC652	1.678686	7.98255	0	14	
NGC653	1.707142	35.638306	0	14	
NGC654	1.733333	61.885	5	6.5	
NGC655	1.698639	-13.082222	0	14	
NGC656	1.707603	26.142917	0	13	
NGC657	1.722222	55.836667	0	0	
NGC658	1.702711	12.601667	3.2	14	
NGC659	1.74	60.673333	5	7.9	
NGC660	1.717244	13.644306	9.1	10.8	
NGC661	1.737378	28.706028	2.2	13	
NGC662	1.743186	37.696194	1	14.3	
NGC663	1.769167	61.235	16	7.1	
NGC664	1.729414	4.22225	1.8	14	
NGC665	1.748906	10.422667	0	13	
NGC666	1.768392	34.374361	0	13	
NGC667	1.749167	-22.920278	0	0	
NGC668	1.772969	36.460194	2.3	14	
NGC669	1.787817	35.562806	3.4	13	
NGC670	1.790264	27.885972	2.5	12.1	
NGC671	1.783114	13.125222	0	14	
NGC672	1.798242	27.433167	6.6	10.8	
NGC673	1.806258	11.5215	2.4	13	
NGC675	1.81905	13.059333	0	15	
NGC676	1.815928	5.907167	4.3	11	
NGC677	1.8206	13.055044	0	14	
NGC678	1.823594	21.997139	5	13	
